Date,Location,Operator,Aboard,Fatalities,Summary
"Date:January 02, 2013","Location:Near Clear Lake, Iowa",Operator:Med-Trans Corporaion,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:The air ambulance crashed and burned north of Ventura near Clear Lake Iowa in ice, haze and misty conditons."
"Date:January 04, 2013","Location:Off Los Roques, Venezuela",Operator:Transaereo 5074,Aboard:6   (passengers:5  crew:1),Fatalities:6   (passengers:5  crew:1),"Summary:The flight disappeared while en route from Los Roques island to Caracas. When the plane was approximately 11 miles from Los Roques Airport, radar showed it began rapidly losing altitude and speed. It is presumed to have crashed in the ocean. The son of Italian designer Ottavio Missoni was among those onboard."
"Date:January 29, 2013","Location:Near Kyzyltu, Kazakhstan",Operator:SCAT Air,Aboard:21   (passengers:16  crew:5),Fatalities:21   (passengers:16  crew:5),"Summary:The jet crashed in heavy fog outside of Almaty while attempting to land at Almaty Airport for a second time. The aircraft was found in swampy terrain about 1 mile short of the runway threshold. The accident occurred during the execution of a go-around, in instrument meteorological conditions, without the possibility of visual contact with ground reference points, the necessity of which was caused by the mismatch between the actual weather conditions and the minimum conditions for which the crew was certified to land."
"Date:February 13, 2013","Location:Donetsk, Ukraine",Operator:South Airlines,Aboard:45   (passengers:41  crew:4),Fatalities:5   (passengers:5  crew:0),"Summary:While attempting to land on runway 8 in dense fog, the plane overran the runway , overturned and caught fire. The airplane operated as a charter flight carrying football fans on their way to a match of Shakhtar Donetsk against Borussia Dortmund. Pilot error.  A loss of speed by the aircraft during the landing approach due to an error of the unprepared crew. The crew had no clearance to land given the weather conditions."
"Date:March 04, 2013","Location:Goma, Congo",Operator:Compagnie Africaine d' Aviation (CAA),Aboard:10   (passengers:4  crew:6),Fatalities:7   (passengers:1  crew:6),Summary:The aircraft crashed short of the runway while attempting to land in heavy rain at Goma Airport crashing into the back yards of several houses in the Lake Kivu area.
"Date:March 08, 2013","Location:Near Dillingham, Alaska",Operator:Ace Air Cargo,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:The cargo plane crashed about 20 miles northeast of Dillingham while on approach to Dillingham Airport. Wreckage was discovered on Saturday with the pilot and copilot fatally injured. The aircraft was badly fragmented in three sections. The flight crew's failure to maintain terrain clearance, which resulted in controlled flight into terrain in instrument meteorological conditions. Contributing to the accident were the flight crew's failure to correctly read back and interpret clearance altitudes issued by the air traffic controller, their failure to adhere to minimum altitudes depicted on the published instrument approach chart, and their failure to adhere to company checklists. Also contributing to the accident were the air traffic controller's issuance of an ambiguous clearance to the flight crew, which resulted in the airplane's premature descent, his failure to address the pilot's incorrect read back of the assigned clearance altitudes, and his failure to monitor the flight and address the altitude violations and issue terrain-based safety alerts."
"Date:April 13, 2013","Location:Denpasar, Indonesia",Operator:Lion Air,Aboard:108   (passengers:101  crew:7),Fatalities:0   (passengers:0  crew:0),"Summary:The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured."
"Date:April 29, 2013","Location:Bagram Air Base, Afghanistan",Operator:National Air Cargo,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),"Summary:The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000 pounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable."
"Date:May 31, 2013","Location:Moosonee, Ontario",Operator:Ornge Air Ambulance,Aboard:4   (passengers:2  crew:2),Fatalities:4   (passengers:2  crew:2),"Summary:The air ambulance helicopter crashed 0.7 miles from its departure point. The pilot, copilot and two paramedics were killed. The helicopter was headed to Attawapiskat to pick up a patient."
"Date:June 25, 2013","Location:Gaurikund, near Kedarnath, Uttarakhand State, India.",Operator:Indian Air Force,Aboard:20   (passengers:15  crew:5),Fatalities:20   (passengers:15  crew:5),Summary:Crashed during flood relief operations. The passengers were from paramilitary forces.
"Date:July 06, 2013","Location:San Francisco, California",Operator:Asiana Airlines,Aboard:307   (passengers:291  crew:16),Fatalities:3   (passengers:3  crew:0),"Summary:The aircraft crash landed short of the runway while on approach to runway 28L at San Francisco International Airport. The tail section, landing gear, and both engines separated from the fuselage and a fire erupted. Debris was scattered from the ocean front to the runway to where the aircraft came to rest. The plane's voice and flight data recorders show that the aircraft was coming in too slow and too low and that the pilots appear to have increased speed seven seconds before impact. A stall warning sounded four seconds before the crash, and the crew then made an internal decision ""to initiate a go-around 1.5 seconds to impact.Two passengers were killed and 182 injured. One passenger was run over by one of the emergency vehicles. The crew's failure to monitor and maintain the plane's airspeed, and its failure to abort the landing when in trouble. The pilot and co-pilot reasonably believed the automatic throttle would keep the plane flying fast enough to land safely, when in fact the auto throttle was effectively shut off after the pilot idled it to correct an unexplained climb earlier in the landing. The flight crew over-relied on automated systems that they did not fully understand."
"Date:July 07, 2013","Location:Soldotna, Alaksa",Operator:Rediske Air,Aboard:10   (passengers:9  crew:1),Fatalities:10   (passengers:9  crew:1),"Summary:As soon as the plane took off speed began to decline until the plane stalled and crashed.  The probable cause of the crash was the operators failure to account for about 420 additional pounds of unspecified cargo, which led to loading and operating the de Havilland DHC3 Otter outside its weight and center-of-gravity limits leading to an aerodynamic stall."
"Date:August 09, 2013","Location:Mogadishu, Somalia",Operator:Military - Ethiopian Air Force,Aboard:6   (passengers:0  crew:6),Fatalities:4   (passengers:0  crew:4),Summary:The cargo plane crashed on the runway and caught fire while attempting to land at Mofadisu International Airport.
"Date:August 14, 2013","Location:Birmingham, Alabama",Operator:United Parcel Service,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:The cargo plane was on approach when it struck trees, crashed and burst into flames. The flight crews failure to properly configure and verify the flight management computer for the profile approach. The captains failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured."
"Date:October 03, 2013","Location:Lagos, Nigeria",Operator:Associated Aviation,Aboard:20   (passengers:13  crew:7),Fatalities:16   (passengers:11  crew:5),"Summary:The chartered plane crashed minutes after taking off from Murtala Muhammad International Airport.The aircraft lost height, after departing runwal 18L, impacted trees, a brick wall and caught fire. The decision of the crew to continue the take-off despite the abnormal No. 2 Propeller rpm indication. Low altitude stall as a result of low thrust at start of roll for take-off from No. 2 engine caused by an undetermined malfunction of the propeller control unit."
"Date:October 10, 2013","Location:Kudat, Malaysia",Operator:MASwings,Aboard:16   (passengers:14  crew:2),Fatalities:2   (passengers:1  crew:1),"Summary:While attempting to land, the Twin Otter struck a house located to the right of runway 22. The nose section was destroyed and the right wing broke off. The co-pilot and one passenger were killed. Procedural errors by the captain. The aircraft should have been in the correct landing configuration at or below the stabilized approach altitude of 500ft AGL, since the aircraft was not stable due to the tail wind and gusting weather."
"Date:October 16, 2013","Location:Near Pakse, Laos",Operator:Lao Airlines,Aboard:49   (passengers:44  crew:5),Fatalities:49   (passengers:44  crew:5),"Summary:The aircraft crashed into the Mekong River 5 miles from Paskse, while on approach to land and after attempting a go-around. The fuselage broke in two and sank into the river. The weather was poor at the time of the accident, with the tail end of Hurricane Nari affecting the area.  A sudden change in weather conditions and the flight crew's failure to properly execute procedure have been identified as the probable causes of the crash. The flight crew's minima of 600 feet was lower than the published minima of 990 feet and the incorrect height of 645 feet as published in the JEPPESEN Chart at that time.After aborting the aircraft's approach at an altitude of around 595 feet, the flight crew executed a right turn instead of a nominal climb as dictated by the airport's VOR/DME missed approach procedure."
"Date:November 03, 2013","Location:Riberalta, Bolivia",Operator:Aerocon,Aboard:18   (passengers:16  crew:2),Fatalities:8   (passengers:8  crew:0),"Summary:While landing in heavy rain, the aircraft veered off the runway, caught fire after hitting some brush and came to rest inverted."
"Date:November 09, 2013","Location:Pujungan, Malinau district, Borneo",Operator:Military - Indonesian Army,Aboard:21   (passengers:13  crew:8),Fatalities:13   (passengers:7  crew:6),"Summary:After losing power, the helicopter crashed into dense jungle and burst into flames. It was carrying construction materials, 8 military personnel and 13 civilian construction workers. Two military personnel and 6 passengers survived."
"Date:November 10, 2013","Location:Red Lake, Ontario, Canada",Operator:Bearskin Airlines,Aboard:7   (passengers:5  crew:2),Fatalities:5   (passengers:3  crew:2),"Summary:The aircraft was on approach to runway 26, in light snow, when it crashed and burned in the surrounding forest. Three of the five passengers and the two pilots were killed.  A first-stage turbine wheel blade in the left engine failed due to a combination of metallurgical issues and stator vane burn-through."
"Date:November 17, 2013","Location:Near Kazan, Russia",Operator:Tararstan Airlilnes,Aboard:50   (passengers:44  crew:6),Fatalities:50   (passengers:44  crew:6),"Summary:The airliner went into a nearly vertical dive and crashed onto the runway and disintegrated, after attempting to land a second time. The aircraft hit the runway and burst into flames. The pilot in command, in executing a go-around, apparently placed the plane in an excessive nose high attitude, stalling the plane. Inexperienced crew, poor flight safety standards at the Tatarstan air company and lack of proper control over crew training."
"Date:November 29, 2013",Location:Glasgow Scotland,Operator:Bond Air Services Ltd.,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),Summary:The police helicopter crashed into the roof of the Clutha Pub in central Glasgow killing at least 5 patrons along with 3 aboard he helicopter. The helicopter was carrying a civilian pilot and two Strathclyde police officers.
"Date:November 29, 2013","Location:Bwabwata National Park, Nambia",Operator:Mozambique Airline,Aboard:33   (passengers:27  crew:6),Fatalities:33   (passengers:27  crew:6),"Summary:The airliner crashed into Bwabwata National Park while en route to Luanda. The plane was found completely burned out with no survivors. The plane went missing in bad weather and poor visibility. The inputs to the auto flight systems by the person believed to be the Captain, caused the aircraft to departure from cruise flight to a sustained controlled descent and subsequent collision with the terrain. The Captain locked the cockpit door preventing the copilot from reentering after he requested permission to go to the lavatory."
"Date:December 05, 2013","Location:Near Cachimbo, Brazil",Operator:Heringer Taxi Aero,Aboard:5   (passengers:3  crew:2),Fatalities:5   (passengers:3  crew:2),"Summary:While performing an ambulance flight, the aircraft crashed under unknown circumstances in a wooded area killing 3 passengers and 2 pilots. The lack of control on the part of the companys management in relation to the flights operating outside of the main base allowed the pilot and the base manager to conduct a flight without the operating sector authorization."
"Date:December 26, 2013","Location:Irkutsk, Russia",Operator:IrAvia,Aboard:9   (passengers:3  crew:6),Fatalities:9   (passengers:3  crew:6),"Summary:The cargo plane, carrying spare parts, crashed into a military army arsenal at Ikustsk-2 Airport while attempting to land. The crew of 6 and 3 technicians were all killed."
"Date:January 20, 2014",Location:Near Petreasa Romania,Operator:Scoala Superioara de Aviatie Civla,Aboard:7   (passengers:5  crew:2),Fatalities:2   (passengers:1  crew:1),Summary:The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.
"Date:February 11, 2014","Location:Near Ain Kercha, Algeria",Operator:Military - Algerian Air Force,Aboard:77   (passengers:73  crew:4),Fatalities:76   (passengers:72  crew:4),Summary:The military transport crashed into a mountainous region approximaely 30 miles southeast of Constatine Airport. Unfavorable weather conditions and storms accompanied by snow were reported in the area. The aircraft was too low on approach and hit the slope of mount Djebel Ta Fertas.
"Date:February 16, 2014","Location:Sandhikhark, Nepal",Operator:Nepal Airlines,Aboard:18   (passengers:15  crew:3),Fatalities:18   (passengers:15  crew:3),"Summary:The passenger plane crashed into a snow covered mountain and burst into flames while en route from Pokhara to Jamia. Weather was poor at the time of the accident. The PIC lost situation awareness while cruising in IMC, causing the aircraft to collide with terrain."
"Date:February 21, 2014","Location:Grombalia, Tunisia",Operator:Libyan Air Cargo,Aboard:11   (passengers:6  crew:5),Fatalities:11   (passengers:6  crew:5),"Summary:The aircraft, carrying a medical team with three patients, was destroyed when it crashed in a field, 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident."
"Date:March 08, 2014",Location:South Indian Ocean,Operator:Malaysia Airlines,Aboard:239   (passengers:227  crew:12),Fatalities:239   (passengers:227  crew:12),Summary:Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished. The cause remains unknown.
"Date:March 18, 2014","Location:Seattle, Washington",Operator:Helicopters Inc / KOMO TV,Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:The news helicopter crashed and burst into flames shortl after taking off striking three vehicles. One person in one of the vehicles was badly burned. The helicopter Photojournalist Bill Strothman and the pilot were both killed.
"Date:April 19, 2014","Location:Ramos Arizpe, Mexico",Operator:Lineas Aereas Comerciales,Aboard:8   (passengers:6  crew:2),Fatalities:8   (passengers:6  crew:2),"Summary:While on approach, in fog, the jet crashed into an park about half-a-mile north of Saltillo-Plan de Guadalupe International Airport."
"Date:April 20, 2014","Location:Jamijarvi, Finland",Operator:Suomen Urheiluilmailijat,Aboard:11   (passengers:10  crew:1),Fatalities:8   (passengers:7  crew:1),"Summary:While carrying skydivers, the experimental plane went into a spin and crashed and burned in a forest. The pilot and two skydivers were able to parachute to safety with minor injuries."
"Date:May 08, 2014","Location:Near San Vicente del Caguan, Colombia",Operator:Alisansa Colombia,Aboard:6   (passengers:0  crew:6),Fatalities:6   (passengers:0  crew:6),Summary:The Cargo plane sruck the side of a mountain about 25 miles north of San Vicente del Cagunwhile en route. The accident was the result of a controlled flight into terrain. The crew failed to evaluate properly the risks and the danger of poor weather conditions and decided to perform the flight in VFR mode.
"Date:May 17, 2014","Location:Xiang Khouang province, Laos",Operator:Laos Air Force,Aboard:17   (passengers:11  crew:6),Fatalities:16   (passengers:10  crew:6),"Summary:The military aircraft crashed in a wooded area while approaching Xiangkhoung's airport, killing 16 people. Among those killed were defense minister Douangchay Phichit and other high ranking officials. For unknown reason, crew was approaching at a too low an altitude."
"Date:June 14, 2014","Location:Lugansk, Ukraine",Operator:Military - Ukraine Air Force,Aboard:49   (passengers:40  crew:9),Fatalities:49   (passengers:40  crew:9),Summary:The military transport crashed in a wheat field  near Lugansk Airport after being shot down by anti-aircraft fire.
"Date:July 02, 2014","Location:Near Nairobi, Kenya",Operator:Skyward International Aviation,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:4),"Summary:The cargo plane, transporting the mild stimulant known as Khat to the Somali capital, Mogadishu, crashed into a commercial building after taking off from Jomo Kenyatta International Airport. While climbing by night, crew lost control of the aircraft. The probable cause of the accident was the decision by the crew to conduct the flight with a known mechanical problem and their failure to abort or reject the takeoff after receiving twenty-seven cautions."
"Date:July 07, 2014","Location:Thach That district, Vietnam",Operator:Military - Vietnam People's Army Air Force,Aboard:19   (passengers:21  crew:2),Fatalities:18   (passengers:?  crew:?),"Summary:The helicopter crashed about  40 km west of Hanoi, 15 minutes after taking off during a parachute training mission."
"Date:July 17, 2014","Location:Hrabove, Ukraine",Operator:Malaysia Airlines,Aboard:298   (passengers:283  crew:15),Fatalities:298   (passengers:283  crew:15),"Summary:A Boeing 777-200 airliner operating as  Malaysia Airlines Flight 17, crashed about 40 miles east of Donetsk, Ukraine. The plane was 90 minutes into its flight, flying at 33,000 feet, when it was apparently hit by a Russian Buk missile. The missile exploded a few feet away from the cockpit .Debris was spread over a wide area. All 283 passengers and crew of 15 were killed."
"Date:July 23, 2014","Location:Magong, Taiwan",Operator:TransAsia Airways,Aboard:58   (passengers:54  crew:4),Fatalities:48   (passengers:44  crew:4),"Summary:The passenger plane crashed into residential building while attempting to make an emergency landing during inclement weather due to the passing of hurricane Matmo.  The flight recorder revealed that after the the crew lost track of its flight path and moved away from the runway, the plane rapidly lost altitude and crashed to the ground in a period of 7.9 seconds. By the time the two pilots yelled to go around, there was nothing they could do to change the velocity and altitude of the plane in time to prevent a crash. The airport's control tower did not inform the aircraft of local weather conditions.The cause was  pilot error and a failure within the airline to follow safety procedures. The flight crew did not comply with the published runway 20 VOR non-precision instrument approach procedures at Magong Airport with respect to the minimum descent altitude. The captain, as the pilot flying, intentionally descended the aircraft below the published MDA of 330 feet in the instrument meteorological conditions."
"Date:July 24, 2014","Location:Aguelhok, Mali",Operator:Air Algerie,Aboard:116   (passengers:110  crew:6),Fatalities:116   (passengers:110  crew:6),"Summary:Radar contact was lost 50 minutes after the flight took off from Ouagadougou and after the crew diverted from their planned course due to bad weather. Wreckage was found in the northern mali dessert. The plane was on loan from Swiftair. The crew likely did not activate the system during climb and cruise. As a result of the icing of the pressure sensors, the erroneous information transmitted to the auto throttle meant that the latter limited the thrust delivered by the engines. Under these conditions, the thrust was insufficient to maintain cruise speed and the aircraft slowed down and stalled."
"Date:August 10, 2014","Location:Tehran, Iran",Operator:Sepahan Airlines,Aboard:48   (passengers:40  crew:8),Fatalities:39   (passengers:31  crew:8),"Summary:After taking off, the passenger banked to the right, lost altitude, and crashed into a residential neighborhood, bursting into flames. The plane appeared to have lost an engine during the takeoff. Excessive load and malfuncioning propeller."
"Date:August 30, 2014","Location:Tamanraset, Algeria",Operator:Ukraine Air Alliance,Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),"Summary:The cargo plane crashed in the mountainous southeastern region of Algereia, 15 km south of the airport, shortly after taking off."
"Date:August 31, 2014","Location:Mwanza, Tanzania",Operator:Safari Express Cargo,Aboard:3   (passengers:1  crew:2),Fatalities:3   (passengers:1  crew:2),"Summary:The cargo plane crashed within the borders of Serengeti National Park not far from the Kenya - Tanzania border, shortly after taking off from Mwanza."
"Date:September 20, 2014","Location:Near Port Moresby, Papua New Guinea",Operator:Hevlift,Aboard:9   (passengers:7  crew:2),Fatalities:4   (passengers:2  crew:2),"Summary:While approaching Port Moresby Jacksons International Airport, the unscheduled passenger plane impacted terrain near the top of Mt. Lawes, 7 miles east northeast of the airport in poor weather. The crew continued the descent in instrument meteorological conditions without confirming their position. The flight crews assessment of their position was incorrect and they had lost situational awareness."
"Date:October 04, 2014","Location:Wichita Falls, Texas",Operator:Air Evac Lifeteam,Aboard:4   (passengers:1  crew:3),Fatalities:2   (passengers:1  crew:1),"Summary:The air ambulance crashed while transporting a patient from Waurika, Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured."
"Date:December 28, 2014","Location:Near Uvira, Congo",Operator:Air Sirin,Aboard:6   (passengers:0  crew:6),Fatalities:6   (passengers:0  crew:6),Summary:The cargo plane impacted a mountainside while en route.
"Date:December 28, 2014",Location:Java Sea,Operator:AirAsia,Aboard:162   (passengers:155  crew:7),Fatalities:162   (passengers:155  crew:7),"Summary:The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost, the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer, who was flying, became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident."
"Date:January 18, 2015","Location:Near Abu adh Dhuhur Air Base, Syria",Operator:Syrian Air Force,Aboard:37   (passengers:35  crew:2),Fatalities:37   (passengers:35  crew:2),"Summary:The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft."
"Date:February 04, 2015","Location:Taipei, Taiwan",Operator:Transasia,Aboard:58   (passengers:53  crew:5),Fatalities:43   (passengers:39  crew:4),"Summary:After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. The torque censor in the right engine malfunctioned, feathering the engine. The pilot  then mistakenly throttled down a still-running left engine. The plane without power, lost altitude and crashed.  Pilot error."
"Date:March 09, 2015","Location:Villa Castelli, Argentina",Operator:Private,Aboard:10   (passengers:8  crew:2),Fatalities:10   (passengers:8  crew:2),"Summary:Three French sports figures, Florence Arthaud, Camille Muffat and Alexis Vastine, participating in the French reality show Droped, were killed along with seven other people when the two helicopters filming the show collided. Five killed on each helicopter"
"Date:March 24, 2015","Location:Near Digne-Les-Bains, France",Operator:Germanwings,Aboard:150   (passengers:144  crew:6),Fatalities:150   (passengers:144  crew:6),"Summary:The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed. The copilot locked the captain out of the cockpit and deliberately put the plane into a controlled descent until it impacted the ground."
"Date:June 25, 2015","Location:Ella Lake, Alaska",Operator:Promech Air,Aboard:9   (passengers:8  crew:1),Fatalities:9   (passengers:8  crew:1),"Summary:The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan. The pilots decision to continue visual flight into an area of instrument meteorological conditions, which resulted in his geographic disorientation and controlled flight into terrain."
"Date:June 30, 2015","Location:Medan, Indonesia",Operator:Military - Indonesian Air Force,Aboard:122   (passengers:110  crew:12),Fatalities:122   (passengers:110  crew:12),"Summary:The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel."
"Date:July 31, 2015","Location:Near Agustin Codazzi, Colombia",Operator:Military - Colombia Air Force,Aboard:11   (passengers:0  crew:11),Fatalities:11   (passengers:0  crew:11),Summary:The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.
"Date:August 12, 2015","Location:Ninia, Indonesia",Operator:Komala Air,Aboard:6   (passengers:4  crew:2),Fatalities:1   (passengers:0  crew:1),"Summary:Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed."
"Date:August 16, 2015","Location:Tangok mountain, Papua",Operator:Trigana Air Service,Aboard:54   (passengers:49  crew:5),Fatalities:54   (passengers:49  crew:5),"Summary:The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most province. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area. The deviation from the visual approach guidance in visual flight rules without considering the weather and terrain condition, with no or limited visual reference to the terrain. The habit of turning off the ground warning system. Inaccurate navigation charts"
"Date:September 05, 2015","Location:Off Dakar, Near Dioubel, Senegal",Operator:Senegalair,Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:2  crew:5),"Summary:The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient. The collision is due to 6V-AIM's non-compliance with its flight level."
"Date:September 15, 2015","Location:Iliamna East Wind Lake, Alaska",Operator:Rainbow King Lodge,Aboard:7   (passengers:6  crew:1),Fatalities:3   (passengers:3  crew:0),"Summary:While on the way to a remote fishing site, the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed. The pilot's decision to depart in dark night, visual meteorological conditions over water, which resulted in his subsequent spatial disorientation and loss of airplane control."
"Date:October 02, 2015","Location:Jalalabad, Afghanistan",Operator:Military - U.S. Army,Aboard:11   (passengers:5  crew:6),Fatalities:11   (passengers:5  crew:6),"Summary:The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed. The MPs placement of the hard-shell NVG case in front of the yoke blocking forward movement of the flight controls, the distractions experienced by the MP and MCP during the course of the ERO, and the misidentification of the malfunction once airborne."
"Date:October 02, 2015","Location:Near Masamba, Indonesia",Operator:Avistar Mandari,Aboard:10   (passengers:7  crew:3),Fatalities:10   (passengers:7  crew:3),Summary:The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong. Deviation from the company visual route without properly considering the elevated risks of cruising altitude lower than the highest terrain and instrument meteorological condition in addition with the absence of the EGPWS warning resulted in the omission of avoidance actions.
"Date:October 31, 2015","Location:Near Ilaga, Indonesia",Operator:Trigana Air Service,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:4),"Summary:The cargo plane carrying construction materials, hit the slope of a mountain in Iiaga Pass, 12 km south of Ilaga airport and disintegrated upon impact."
"Date:October 31, 2015","Location:Near Hasna, Egypt",Operator:Metrojet,Aboard:224   (passengers:217  crew:7),Fatalities:224   (passengers:217  crew:7),"Summary:Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device in the left rear cargo hold. The improvised device was equivalent to 2.2 lbs of TNT."
"Date:November 04, 2015","Location:Juba, South Sudan",Operator:Allied Services Limited,Aboard:43   (passengers:38  crew:5),Fatalities:41   (passengers:37  crew:4),"Summary:The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13. South Sudan Authorities reported the aircraft was unable to climb because it was overload, and the captain reported to ATC prior to departure he was carrying 12 passengers."
"Date:November 21, 2015","Location:  Fox Glacier, South Valley, New Zealand",Operator:Alpine Adventures,Aboard:7   (passengers:6  crew:1),Fatalities:7   (passengers:6  crew:1),"Summary:The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet."
"Date:November 24, 2015","Location:Near Igarka, Russia",Operator:Turuhan Avia,Aboard:26   (passengers:22  crew:4),Fatalities:15   (passengers:13  crew:2),"Summary:Contact with the helicopter, which was heading to an oil pumping station, was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed."
"Date:January 08, 2016","Location:Akkajaure Lake, Norrbotten, Sweden",Operator:West Air Sweden,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:While en route, the crew of the cargo plan sent a unintelligible mayday message. The plane went into a near vertical dive and disintegrated on impact with the ground.The erroneous attitude indication on PFD 1 was caused by a malfunction of the Inertial Reference Unit (IRU 1). The pitch and roll comparator indications of the pilot flying's display were removed when the attitude indicators displayed unusual attitudes. In the simulator, in which the crew had trained, the corresponding indications were not removed. During the event the pilots initially became communicatively isolated from each other. The accident was caused by insufficient operational prerequisites for the management of a failure in a redundant system."
"Date:February 02, 2016","Location: Near Mogadishu, Somalia",Operator:Daallo Airlines,Aboard:72   (passengers:72  crew:?),Fatalities:1   (passengers:1  crew:?),Summary:Shortly after leaving Mogadishu Airport a loud bang was heard in the cabin. There was a loss of pressurization and the plane made an emergency landing back at the airport. A large hole was observed in the side of the fuselage. A bomb containing TNT was detonated in the cabin. The bomber was sucked out of the plane and killed.
"Date:February 24, 2016","Location:Dana, Nepal",Operator:Tara Air,Aboard:23   (passengers:20  crew:3),Fatalities:23   (passengers:20  crew:3),"Summary:The plane crashed in the mountainous northern region of Nepal half-way through a 20 minute flight to Jomsom. The plane was relatively new. There was wind and dense fog at the time of the accident. It was determined that the crew deviated from the prescribed route to the left while descending to Jomsom due to the presence of clouds in the area. In doing so, the aircraft descended to 10,000 feet in clouds while flying under visual flight rules (VFR). When the GPWS warning sounded, the crew failed to react immediately and the aircraft hit a cliff at the altitude of 10,700 feet before coming to rest at the altitude of 10,982 feet."
"Date:February 26, 2016","Location:250 miles northwest of Kathmandu, Nepal",Operator:Kasthamandap Airlines,Aboard:11   (passengers:9  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:The plane went into a steep descent and crashed onto a field in the mountains of the Kalikot district. The plane was reported to be trying to make an emergency landing. Both the pilot and copilot were killed and nine passengers were injured.
